Month,Year,Rainfall,WPI
4,2012,47.5,104.6
5,2012,31.7,105.4
6,2012,122.4,104.4
7,2012,257.9,105.8
8,2012,262,116
9,2012,199.4,119.4
10,2012,58.7,117.4
11,2012,30.7,120.7
12,2012,11.7,121.7
1,2013,11.3,121.6
2,2013,40.1,123.6
3,2013,15.7,122.8
4,2013,30.4,120.1
5,2013,57.8,118.9
6,2013,221.1,121.9
7,2013,311.5,122.3
8,2013,258,123.1
9,2013,155.1,124.6
10,2013,129.4,125.7
11,2013,14,127.6
12,2013,6.7,128.6
1,2014,19.2,130
2,2014,27.4,128.8
3,2014,36.1,127.5
4,2014,22.2,123.5
5,2014,72.9,120.9
6,2014,92.8,120.4
7,2014,266.7,121.9
8,2014,234.6,122.5
9,2014,190.1,121.8
10,2014,60.2,122.3
11,2014,14.4,123.7
12,2014,10.7,125.8
1,2015,17.4,126.3
2,2015,21,125.9
3,2015,62,125.9
4,2015,69.4,125.1
5,2015,53.8,124.1
6,2015,188.9,122.3
7,2015,240.7,124.8
8,2015,204.1,126.1
9,2015,131.7,126.2
10,2015,42.9,128.5
11,2015,39.4,129.9
12,2015,15,131.9
1,2016,19.3,134.1
2,2016,22.8,134.1
3,2016,27.6,134.1
4,2016,37.4,132.9
5,2016,62.6,134.5
6,2016,147,136.5
7,2016,308.4,137.9
8,2016,239.4,139.1
9,2016,168.8,140
10,2016,76.1,140.8
11,2016,29.7,147.9
12,2016,14.9,152.3
1,2017,19,151.3
2,2017,22.6,149.3
3,2017,27.8,142.9
4,2017,37.9,141
5,2017,62.4,137.5
6,2017,171.9,136.1
7,2017,290.5,136.3
8,2017,228.3,137.1
9,2017,153,137.6
10,2017,76.3,138
11,2017,29.9,139.4
12,2017,15,139.4
1,2018,19.2,140.8
2,2018,20.1,140
3,2018,27.1,141.2
4,2018,40.2,140.9
5,2018,62.7,141.7
6,2018,155.7,143.1
7,2018,273.8,145
8,2018,240.5,148.6
9,2018,132.3,149.8
10,2018,165,151.1
11,2018,286.3,152.2
12,2018,254.3,152.8
1,2019,171.9,154.8
2,2019,77.2,157.2
3,2019,28.1,155.5
4,2019,14.1,151.5
5,2019,57.7,150.7
6,2019,112.9,150.8
7,2019,296.7,153.4
8,2019,299.3,156.5
9,2019,260.4,158.3
10,2019,86.9,160.4
11,2019,63.4,164.5
12,2019,46.9,165.7
1,2020,71,168.7
2,2020,48.5,167.3
3,2020,41,162.9
4,2020,36.1,161.2
5,2020,37.9,161.5
6,2020,145.9,158.5
7,2020,241.3,157.3
8,2020,212.8,154.2
9,2020,149.3,150
10,2020,65.2,147.4
11,2020,82.5,147.9
12,2020,72.9,147.3
1,2021,52.8,149.1
2,2021,26.1,149.6
3,2021,15.4,150.3
4,2021,9.5,156.1
5,2021,10.7,157.4
6,2021,94.4,155.7
7,2021,216.3,152.8
8,2021,212.4,153.9
9,2021,176.5,156.6
10,2021,76.3,159.4
11,2021,86.4,162.9
12,2021,85.3,164.1
1,2022,70.4,164.6
2,2022,49.4,166.1
3,2022,44.5,171.4
4,2022,42,173.3
5,2022,45.2,174.1
6,2022,171.8,171.8
7,2022,282.7,173.6
8,2022,270.8,180.6
9,2022,219.1,181.8
10,2022,90.4,185.3
11,2022,106.3,192.4
12,2022,102.9,198.2
1,2023,87.3,203.9
2,2023,61.4,196.8
3,2023,53.7,187.1
4,2023,49.5,186.4
5,2023,50.4,184.9
6,2023,185.8,187.3
7,2023,300.7,187.1
8,2023,286.7,188.3
9,2023,241.5,190.7
10,2023,105.7,194
