Month,Year,Rainfall,WPI
4,2012,47.5,107.7
5,2012,31.7,109.3
6,2012,122.4,107
7,2012,257.9,113.9
8,2012,262,120.7
9,2012,199.4,121.7
10,2012,58.7,114.8
11,2012,30.7,120.4
12,2012,11.7,127.7
1,2013,11.3,131.6
2,2013,40.1,132.7
3,2013,15.7,132.5
4,2013,30.4,136.4
5,2013,57.8,137.6
6,2013,221.1,136.9
7,2013,311.5,135.3
8,2013,258,131
9,2013,155.1,130.9
10,2013,129.4,129.7
11,2013,14,129.5
12,2013,6.7,131.1
1,2014,19.2,132.3
2,2014,27.4,131.5
3,2014,36.1,133.6
4,2014,22.2,134.4
5,2014,72.9,134.6
6,2014,92.8,132.5
7,2014,266.7,134.4
8,2014,234.6,133.2
9,2014,190.1,133.9
10,2014,60.2,129.3
11,2014,14.4,125.6
12,2014,10.7,123.9
1,2015,17.4,125
2,2015,21,123.2
3,2015,62,124.8
4,2015,69.4,127.3
5,2015,53.8,126.7
6,2015,188.9,125.2
7,2015,240.7,124.3
8,2015,204.1,127.4
9,2015,131.7,132.2
10,2015,42.9,132.7
11,2015,39.4,135.3
12,2015,15,139.2
1,2016,19.3,142.9
2,2016,22.8,144.2
3,2016,27.6,147.7
4,2016,37.4,155.8
5,2016,62.6,162.6
6,2016,147,158.7
7,2016,308.4,159.6
8,2016,239.4,159.3
9,2016,168.8,155.1
10,2016,76.1,148.1
11,2016,29.7,151
12,2016,14.9,154.7
1,2017,19,151.9
2,2017,22.6,151.3
3,2017,27.8,152.6
4,2017,37.9,153.8
5,2017,62.4,153.2
6,2017,171.9,149.7
7,2017,290.5,145.4
8,2017,228.3,143.8
9,2017,153,139.4
10,2017,76.3,132.9
11,2017,29.9,130.2
12,2017,15,133.9
1,2018,19.2,131.7
2,2018,20.1,127.9
3,2018,27.1,126.8
4,2018,40.2,127
5,2018,62.7,128.1
6,2018,155.7,129.5
7,2018,273.8,132.9
8,2018,240.5,138.2
9,2018,132.3,141.7
10,2018,165,148.6
11,2018,286.3,161.7
12,2018,254.3,165.1
1,2019,171.9,171.2
2,2019,77.2,178.3
3,2019,28.1,182
4,2019,14.1,188
5,2019,57.7,194.7
6,2019,112.9,195.3
7,2019,296.7,199.6
8,2019,299.3,200.4
9,2019,260.4,195.9
10,2019,86.9,184.9
11,2019,63.4,188.4
12,2019,46.9,194.7
1,2020,71.0,201.6
2,2020,48.5,193.7
3,2020,41.0,187.5
4,2020,36.1,188.9
5,2020,37.9,185
6,2020,145.9,176.1
7,2020,241.3,167.3
8,2020,212.8,161.1
9,2020,149.3,155.7
10,2020,65.2,155.4
11,2020,82.5,154.2
12,2020,72.9,150
1,2021,52.8,148.3
2,2021,26.1,145.7
3,2021,15.4,146.9
4,2021,9.5,146.6
5,2021,10.7,149.1
6,2021,94.4,150.1
7,2021,216.3,153.9
8,2021,212.4,161.1
9,2021,176.5,166.4
10,2021,76.3,164.8
11,2021,86.4,172.6
12,2021,85.3,183.4
1,2022,70.4,183.2
2,2022,49.4,187.7
3,2022,44.5,196.4
4,2022,42.0,205.4
5,2022,45.2,209.3
6,2022,171.8,207
7,2022,282.7,208
8,2022,270.8,214.3
9,2022,219.1,212.8
10,2022,90.4,201.5
11,2022,106.3,209.7
12,2022,102.9,219.2
1,2023,87.3,224.1
2,2023,61.4,219.6
3,2023,53.7,225.1
4,2023,49.5,229.6
5,2023,50.4,229.4
6,2023,185.8,226.7
7,2023,300.7,226.9
8,2023,286.7,225.9
9,2023,241.5,225.7
10,2023,105.7,231.5
